STATION,Official Lat they sent,Official Lon they sent,Our Google Lat ,Our Google Lon,Distance between both
SJT,31.37,-100.5,31.3575,-100.4961,1.438278267
SAT,29.53,-98.47,29.52495,-98.47325,0.64402177
SAN,32.73,-117.17,32.7319,-117.1973,2.563577623
YZP,53.25,-131.82,53.25413,-131.8138,0.617843227
SFO,37.62,-122.38,37.61522,-122.39,1.026929652
SJC,,,37.3667,-121.9259,
JSJ,18.43,-66,18.46633,-66.10572,11.86074654
SBA,,,34.42573,-119.8366,
SCZ,,,-22.92028,-43.685,
SLK,,,44.38092,-74.20494,
ANJ,46.47,-84.35,46.48229,-84.36414,1.74316654
SAV,32.13,-81.2,32.13563,-81.20876,1.035443235
YKL,54.8,-66.82,54.80561,-66.80569,1.109259439
BFF,41.87,-103.6,41.86773,-103.5967,0.373584338
SVD,,,53.98333,123.9333,
SEA,47.45,-122.3,47.44443,-122.3005,0.620417222
SEL,,,37.56654,126.978,
YZV,50.22,-66.27,50.22333,-66.26556,0.486745324
SNH,,,31.23042,121.4737,
SNN,,,52.69331,-8.920072,
SHR,44.77,-106.97,44.76908,-106.9805,0.836866345
SHV,32.47,-93.82,32.45454,-93.8285,1.894718597
SUX,42.4,-96.38,42.4025,-96.38417,0.44115282
FSD,43.57,-96.73,43.58517,-96.7401,1.872670287
YXL,50.12,-91.9,50.11389,-91.90528,0.776828223
SNS,,,59.28857,10.75156,
SVC,,,32.64063,-108.1539,
SOT,,,67.396,26.61806,
SBN,41.7,-86.32,41.70695,-86.32246,0.799875751
SVS,,,48.96667,140.2833,
GEG,47.63,-117.53,47.62566,-117.5367,0.69530258
SPI,39.85,-89.68,39.84389,-89.67778,0.705466388
SGF,37.23,-93.38,37.23838,-93.39715,1.78176549
SVG,,,58.88253,5.627177,
YJT,48.53,-58.55,32.2207,-98.20226,3759.757288
YYT,47.62,-52.73,47.61311,-52.74319,1.250305126
STL,38.75,-90.37,38.74218,-90.36578,0.943269442
SNP,57.15,-170.22,57.16722,-170.2203,1.914797505
STR,,,48.68764,9.205576,
SWU,,,37.26357,127.0286,
SVY,,,44.81575,133.0802,
YQY,46.17,-60.05,46.16139,-60.04778,0.972510442
SYR,43.12,-76.12,43.11111,-76.10611,1.499500425
TKA,62.3,-150.1,62.32167,-150.0939,2.429968451
TLH,30.38,-84.37,30.39562,-84.34506,2.956367967
TPA,27.97,-82.53,27.97689,-82.53338,0.835067275
YQD,53.97,-101.1,53.97145,-101.0917,0.568724654
YTH,55.8,-97.87,55.70739,-97.89095,10.38080827
THU,,,76.53333,-68.7,
YQT,48.37,-89.32,48.37276,-89.3202,0.307875734
TOK,,,53.10014,49.95481,
TOL,41.6,-83.8,41.63834,-83.54172,21.88968095
TOP,39.07,-95.63,39.06861,-95.6225,0.665604109
TOR,,,45.819,13.34011,
YYZ,43.67,-79.63,43.68173,-79.61205,1.945686383
XYT,,,43.56667,1.483333,
TUF,,,47.42833,0.7275,
TVC,44.73,-85.58,44.73689,-85.57959,0.767174753
TOS,,,69.67971,18.90771,
TUS,32.13,-110.93,32.12104,-110.9374,1.2142117
TUL,36.2,-95.9,36.18927,-95.88904,1.546816772
UDS,,,99,99,
ULL,,,99,99,
USN,,,35.59311,129.3557,
YVR,49.18,-123.17,49.19595,-123.1776,1.85657019
YYJ,48.65,-123.43,48.64006,-123.4291,1.108006341
VCT,28.85,-96.92,28.8454,-96.91999,0.511131394
VVO,,,43.16667,131.9333,
YWK,52.93,-66.87,47.53989,-52.76448,1165.665846
ACT,31.62,-97.22,31.60918,-97.2234,1.245178357
IAD,38.95,-77.45,38.95338,-77.44772,0.424443803
DCA,38.85,-77.03,38.85194,-77.0375,0.684528512
ALO,42.55,-92.4,42.55695,-92.40028,0.772750207
ART,,,43.99167,-76.02166,
YQH,60.12,-128.82,60.11787,-128.8223,0.267699857
FOK,,,40.84361,-72.63167,
PBI,26.68,-80.12,26.68862,-80.0907,3.065090914
NUW,48.35,-122.65,47.99828,-122.4395,42.10963026
YXY,60.72,-135.07,60.71418,-135.0756,0.714982665
HPN,,,41.06863,-73.70422,
NSE,30.72,-87.02,30.72417,-87.02194,0.49933379
SPS,33.97,-98.48,33.9888,-98.49189,2.359873658
ICT,37.65,-97.43,37.65085,-97.4287,0.148794411
AVP,41.33,-75.73,41.33625,-75.73115,0.700917964
IPT,41.25,-76.92,41.24521,-76.91882,0.541859553
