Stavanger , Norway	SVG	1973-2013
Stephenville , NF	YJT	1942-2010
St. Johns , NF	YYT	1942-1944 19471948 1950-2010
St. Louis , MO	STL	1946-2013
St. Paul Island , AK	SNP	1944-1945 1962-1964 1973-1975 1977 19791980 1982 1
Stuttgart , Germany	STR	1951-2000
Suwon , Korea	SWU	1965-2013
Sviyagino , Russia	SVY	1966-1974 1976 1978-1996 1999-2010
Sydney , NS	YQY	1942-1944 1947 1949-2010
Syracuse , NY	SYR	1943-2013
Talkeetna , AK	TKA	1949-1964 1976-1985 1987-2013
Tallahassee , FL	TLH	1942-1944 1948-2013
Tampa , FL	TPA	1942-1945 1948-2013
The Pas , MB	YQD	1943-1945 1950-2013
Thompson , MB	YTH	1967-2013
Thule / Pituffik , Greenland	THU	1952-1970 1973-1983 1985-2013
Thunder Bay , ON	YQT	1953-2013
Toko , Russia	TOK	1981-2010
Toledo , OH	TOL	1955-1988 1990-2013
Topeka , KS	TOP	1948-2013
Torino , Italy	TOR	1965-1970 1973-2013
Toronto , ON	YYZ	1950-1966 1971-2013
Toulouse , France	XYT	1974-2013
Tours , France	TUF	1974-2013
Traverse City , MI	TVC	1949-1990 1998-2013
Tromso , Norway	TOS	1973-2013
Tucson , AZ	TUS	1949-2013
Tulsa , OK	TUL	1947-2013
Udskoe , Russia	UDS	1966-2010
Ulleungdo , Korea	ULL	1965-2013
Ulsan , Korea	USN	1965-2013
Vancouver , BC	YVR	1953-2010
Victoria , BC	YYJ	1953-2010
Victoria , TX	VCT	1953-1958 1964-2013
Vladivostok , Russia	VVO	1966-1976 1978-1985 1987-2010
Wabush , NF	YWK	1961-2010
Waco , TX	ACT	1942-1945 1949-2013
Washington - Dulles , VA	IAD	1963-2013
Washington - National , DC	DCA	1938-2013
Waterloo , IA	ALO	1960-2013
Watertown , NY	ART	1949-1964 1973-2013
Watson Lake , YT	YQH	1942-1947 1953-1994 1998-2013
Westhampton , NY	FOK	1944-1945 1951-1969 1999-2013
West Palm Beach , FL	PBI	1943 1948-2013
Whidbey Island , WA	NUW	1945-2008
Whitehorse , YT	YXY	1943-1947 1953-2010
White Plains , NY	HPN	1949-1954 1968-2013
Whiting Field , FL	NSE	1945 1947 1949-1971 1973-1998 2007-2013
Wichita Falls , TX	SPS	1942-1943 1947-2013
Wichita , KS	ICT	1954-2013
Wilkes-Barre - Scranton , PA	AVP	1949-2013
Williamsport , PA	IPT	1949-1954 1960-1993 1996-2013
Williston , ND	ISN	1967-2013
Wilmington , DE	ILG	1943-1945 1948-2013
Wilmington , NC	ILM	1948-1953 1960-2013
Windsor , ON	YQG	1978-2010
Winnipeg , MB	YWG	1953-2010
Winslow , AZ	INW	1948-1978 1980-2013
Worcester , MA	ORH	1949-1958 1960-1975 1978-1980 1982-1989 1996-2013
Yakima , WA	YKM	1948-1988 19901991 1993 1996-2013
Yakutat , AK	YAK	1942-2013
Yekaterino-Nickolskoye, Russia	YEN	1966-2010
Yellowknife , NT	YZF	1953-2010
Youngstown , OH	YNG	1948-2013
Yuma - Mil. , AZ	NYL	1943-1945 1949-2013
Zolotoy Mys , Russia	ZLY	1966-1976 1978-1985 1987-2010
